"client_id";"birth_number";"district_id";"sex"
1;701213;18;F
2;450204;1;M
3;401009;1;F
4;561201;5;M
5;600703;5;F
6;190922;12;M
7;290125;15;M
8;380221;51;F
9;351016;60;M
10;430501;57;M
11;500822;57;F
12;810220;40;M
13;740529;54;F
14;420622;76;F
15;180828;21;F
16;190225;21;M
17;341013;76;M
18;310405;76;F
19;421228;47;M
20;790104;46;M
21;521029;12;F
22;691011;1;F
23;730529;1;M
24;390729;43;F
25;390423;21;F
26;690420;74;F
27;660326;54;F
28;450929;1;M
29;510911;30;F
30;571009;74;F
31;620209;68;M
32;800728;52;M
33;481204;73;F
36;780717;7;F
37;700810;7;M
38;730723;36;F
39;680125;68;M
40;570122;5;F
41;680827;22;M
42;350817;68;M
43;201028;75;M
44;770111;38;F
45;520826;20;M
46;400130;19;F
47;340714;76;M
48;400209;16;M
49;590511;72;F
50;780730;39;F
51;791202;36;F
52;241212;32;M
53;770505;64;M
55;480918;45;F
56;600331;21;M
57;611217;21;F
58;270429;1;F
59;570218;1;M
60;800219;67;M
61;480806;16;F
62;321208;77;M
63;590604;4;M
64;260422;20;M
65;430527;50;F
66;511110;1;F
67;321111;29;F
68;461214;43;M
70;251222;70;M
71;270206;70;F
72;230113;47;M
73;240220;22;M
74;250726;22;F
75;770919;64;F
76;671001;36;F
77;560218;1;F
78;440613;16;F
79;690310;37;F
80;790225;64;F
81;760429;8;M
82;791225;8;F
83;781225;1;F
84;790505;1;M
85;610827;1;M
86;690720;1;F
87;461117;72;F
89;510505;1;F
90;750817;52;M
91;400807;63;M
92;660612;74;F
93;250216;3;M
94;470909;43;M
95;520803;43;F
96;720229;74;M
97;651128;26;M
98;730504;33;F
99;730126;33;M
100;420811;44;F
101;430123;68;M
102;580910;74;F
103;550711;74;M
105;800526;31;M
106;681230;68;F
107;720623;1;M
108;630913;17;M
110;670413;2;F
112;350125;1;M
113;400815;1;F
114;690624;74;F
115;691224;74;M
116;420128;74;M
117;360920;74;F
118;220719;55;M
119;220228;55;F
120;760510;1;M
121;781029;41;F
122;631113;35;F
123;690212;11;M
124;670921;44;M
125;361031;37;M
126;290927;37;F
127;501227;21;F
128;730404;63;F
129;470531;64;F
130;420214;53;M
131;770131;53;F
132;530126;36;M
134;320118;6;M
135;380910;6;F
136;210126;55;F
137;230914;60;M
138;721021;54;F
139;590725;8;F
140;610606;8;M
141;251102;31;M
142;370621;68;M
143;780709;27;M
144;581206;65;M
145;780214;55;M
146;611219;31;F
147;331102;21;F
148;401225;21;M
149;480627;55;M
150;800927;2;F
151;710923;51;F
152;451202;29;F
153;810212;13;F
154;330827;74;M
155;390313;74;F
156;300722;54;F
157;430709;52;F
158;450703;40;F
159;380910;40;M
160;420426;64;F
161;431007;34;F
162;411017;65;M
163;330612;74;M
164;620404;70;F
165;681108;22;M
166;611022;22;F
167;780418;38;F
168;761105;24;F
169;530912;38;M
170;460616;38;F
171;290625;51;M
172;351005;51;F
173;181208;21;F
174;781110;10;M
175;600713;31;M
176;290311;4;M
178;601222;8;M
179;801229;43;M
180;820119;73;M
181;670706;76;M
182;590713;76;F
183;780319;1;F
184;720605;1;M
185;540530;77;M
186;610222;46;F
187;420823;58;M
188;600902;64;M
189;190810;11;M
190;471031;37;F
191;540903;37;M
192;710228;70;M
193;620501;1;M
194;241220;28;F
195;191118;74;M
196;270625;74;F
197;330425;30;M
198;760714;60;M
199;230621;29;M
200;280113;29;F
201;300819;17;F
202;761121;29;F
203;620610;31;M
204;670617;31;F
205;420615;4;F
206;630413;59;F
207;320520;46;M
208;400625;13;F
209;350820;13;M
210;391130;66;M
211;450628;66;F
212;750210;52;M
215;670924;71;M
216;600130;1;M
217;741222;59;F
218;800123;1;F
219;640402;60;F
221;770225;21;F
222;720629;47;F
223;520227;43;F
224;550511;77;M
225;360510;32;M
226;420616;1;M
227;261218;52;F
228;560316;48;F
229;690722;76;M
230;670310;74;F
231;410218;41;M
232;210617;55;F
233;581203;69;F
234;550621;69;M
235;430828;44;F
236;610901;70;M
237;690222;70;F
238;611128;6;F
239;740910;1;F
240;290617;34;F
241;590123;70;M
242;610801;17;F
243;540210;63;M
246;701228;67;F
247;570508;1;M
248;691212;61;F
249;700505;61;M
250;791125;8;F
251;760303;54;F
252;690901;37;F
253;470512;48;F
254;630530;28;M
255;511011;27;F
256;630227;73;F
257;421104;22;F
258;370531;22;M
259;660608;31;M
260;620224;31;F
261;371207;38;F
262;451125;77;M
263;620520;68;M
264;780822;28;M
265;330107;72;F
266;670828;19;F
267;670612;37;M
268;820502;39;F
269;231203;15;F
270;470308;46;M
271;450727;46;F
272;441025;70;F
273;720515;27;F
274;701125;17;F
275;181112;1;F
276;570611;1;M
277;611128;1;F
278;721227;22;F
279;700516;22;M
280;691218;45;F
282;380224;73;F
283;331104;73;M
284;740806;10;M
285;540603;72;M
286;520418;72;F
287;800909;50;M
288;620421;6;M
289;580327;54;M
290;590112;72;M
291;550427;72;F
292;580906;15;F
293;430927;69;M
294;680321;58;M
295;390327;12;M
296;740301;65;M
297;240315;65;F
298;210613;65;M
300;570730;1;F
301;420110;28;M
302;710223;56;M
303;460506;74;M
304;340311;19;F
305;380608;46;M
308;760612;68;F
309;691214;37;F
310;500416;11;M
311;300916;64;F
312;240703;2;M
313;420511;24;F
314;450322;24;M
315;670501;54;M
316;550428;75;M
317;571006;64;F
318;430402;15;F
319;290404;19;F
320;341112;19;M
321;431024;47;F
322;330201;38;M
323;380404;38;F
324;601203;3;M
325;600221;3;M
326;670918;27;F
327;681013;27;M
328;180124;1;F
329;641203;11;M
330;440805;65;F
331;420302;1;M
332;780725;29;M
333;711019;38;M
334;691031;32;M
335;670722;73;F
336;640211;39;F
337;570508;39;M
338;510619;8;F
339;660730;1;M
340;700819;1;F
341;770316;69;M
342;720630;69;F
343;191119;44;M
344;630716;54;F
345;531207;17;M
346;601102;17;F
347;591213;71;M
348;530124;71;F
349;270527;39;F
350;250402;25;F
351;730501;1;M
352;400827;56;M
353;651026;7;M
354;220427;49;F
355;300531;49;M
356;791207;1;F
357;790330;1;M
358;590626;7;F
359;700216;66;M
360;430427;49;M
361;770525;74;F
362;500427;35;F
363;420701;35;M
364;421205;54;F
365;300109;1;M
366;361110;1;F
367;630903;60;F
368;681014;60;M
369;301106;7;F
370;560105;71;F
371;420716;4;M
372;320403;34;M
373;360228;16;M
374;670614;26;M
375;690929;61;F
376;730108;14;F
378;780515;50;M
379;831013;50;F
380;730119;41;M
381;770126;73;F
382;780630;73;M
383;390517;15;F
384;351008;15;M
385;480324;45;M
386;800821;62;M
387;270606;76;M
388;501030;36;F
389;740630;47;F
390;770127;47;F
391;330522;47;F
392;500401;74;F
393;560831;74;M
394;240518;52;F
395;190705;52;M
396;200502;1;M
397;300327;75;M
398;250326;61;F
399;520414;45;M
400;331227;1;M
401;281119;1;F
402;431225;3;M
403;730526;42;F
404;670420;42;M
405;341019;65;F
406;770515;36;M
407;750527;73;F
408;780222;35;F
409;250618;74;M
410;621220;62;M
411;410414;17;F
412;440417;17;M
413;721118;49;F
414;471019;46;F
415;450401;46;M
416;321007;1;F
417;300610;1;M
418;661013;28;M
419;701007;64;F
420;780313;18;M
421;650731;54;M
422;461207;69;M
423;570623;37;M
424;471008;1;M
425;480212;25;M
426;370601;72;M
427;410914;72;F
428;191116;47;F
429;810120;50;F
430;200728;39;M
431;271001;24;F
432;520326;59;F
433;550207;62;M
434;430130;70;F
435;671023;20;M
436;550615;2;M
437;200117;11;F
438;380928;32;M
439;680912;51;F
440;700707;15;F
441;590914;1;M
442;711216;1;F
443;711220;1;M
444;600801;74;F
445;470427;1;F
446;520319;1;M
447;460904;23;M
448;700815;77;F
450;531127;25;M
451;790414;12;M
452;531022;55;F
453;690716;67;M
454;490615;38;F
455;200726;68;M
456;400228;25;M
457;500926;70;M
458;610724;68;M
459;670723;32;F
461;700813;68;F
462;701221;14;M
463;440405;38;M
464;590730;24;F
465;520901;5;M
466;471119;1;F
467;500417;1;M
468;590427;72;M
469;701013;59;F
470;540421;30;F
471;770111;44;M
472;811227;36;M
473;390925;1;F
474;490531;46;M
476;470601;1;F
477;540720;1;M
478;780621;21;M
479;470820;11;M
480;460124;11;F
481;270122;69;M
482;340122;69;F
483;440619;1;M
484;590913;28;F
485;780516;32;M
486;440412;68;M
487;220401;1;F
488;170802;1;M
489;401007;41;M
490;501023;55;M
491;660805;63;M
492;351026;72;M
493;420604;41;F
494;800519;1;M
495;370407;49;F
496;510521;70;F
497;530202;74;M
498;480115;74;F
499;350708;18;F
500;710106;1;M
501;371028;62;M
502;191208;6;M
503;590724;73;M
504;790801;36;M
505;771221;13;M
506;460816;75;M
507;541116;75;M
508;710428;53;M
509;800502;73;M
510;760415;12;M
511;590218;9;M
512;650803;60;F
513;740111;8;F
514;681115;8;M
515;320526;1;M
516;300427;1;F
517;650725;63;M
518;790428;54;F
519;800413;18;M
520;470927;46;F
521;751225;69;M
522;560304;1;F
523;221217;38;M
524;630102;30;F
525;690814;30;M
526;640201;43;M
527;660818;43;F
528;770211;37;M
529;781105;69;M
530;570927;29;F
531;761004;27;M
532;800903;27;F
533;410519;54;F
534;570722;74;M
535;370909;26;M
536;390825;47;M
537;350116;1;M
538;480510;5;F
540;210728;19;M
541;270309;19;F
542;210209;59;F
543;580415;11;F
544;481116;63;M
545;731011;75;F
546;530825;7;M
547;490331;54;M
548;371204;49;M
550;611130;7;M
551;760705;47;F
552;340508;1;F
553;410407;1;M
554;250419;30;F
555;261021;30;M
556;460708;29;M
557;390717;51;M
558;200705;43;F
559;720905;32;F
560;671216;71;F
561;621110;74;F
562;750922;49;F
563;610909;72;F
564;550124;72;M
565;590703;64;F
566;460305;47;F
567;500502;47;M
568;600719;8;F
569;620615;73;M
570;410131;61;F
571;240927;3;M
572;200804;3;F
573;670810;69;M
574;721225;1;M
575;700404;58;M
576;740512;58;F
577;631205;1;F
578;770707;23;F
579;330531;72;F
581;490204;70;F
582;500926;1;M
583;650101;75;F
584;760513;33;F
585;420221;40;F
586;471103;40;M
587;450708;25;F
588;601020;61;F
589;610917;45;M
590;490215;44;M
591;741029;65;F
592;650718;26;M
593;540710;60;F
596;481024;69;M
597;430222;55;M
598;701231;1;M
599;770518;1;F
601;660312;56;M
602;650116;56;F
603;660309;13;F
604;650731;1;F
605;700827;1;F
606;490125;10;F
607;640330;64;M
608;720831;67;M
609;620902;52;M
610;790810;74;F
611;521013;36;M
612;601110;36;F
613;770810;1;F
614;470203;14;F
615;490913;68;F
616;750101;58;M
617;740314;70;M
618;320316;57;F
619;200907;6;M
620;180213;6;F
621;390317;54;M
622;311123;74;F
623;250904;24;M
624;320726;24;F
625;781124;60;F
626;800413;9;M
627;720411;17;M
628;700527;17;F
629;760310;16;M
630;520303;61;M
631;560322;70;F
632;460316;67;M
633;380612;67;F
635;270629;17;F
636;350217;17;M
637;701215;39;F
638;610203;54;F
639;780802;31;M
640;790415;26;M
641;620704;40;F
642;631025;40;M
643;490613;1;F
644;610423;35;F
645;251221;14;M
646;220929;34;F
647;290406;34;M
648;350928;70;F
649;780502;13;F
651;760127;54;F
652;381208;61;M
653;301121;1;F
654;420517;64;F
655;421210;32;M
656;560606;1;M
657;260710;8;F
658;261221;8;M
659;651207;24;M
660;230322;16;M
661;190115;16;F
662;450807;5;M
663;230120;24;M
664;800319;77;F
665;320405;62;F
666;820523;26;M
667;810720;26;F
668;421225;1;F
669;561219;12;F
670;590121;1;M
671;710227;10;F
672;291109;46;F
673;391029;36;M
674;270111;11;F
675;751112;50;M
676;530207;70;M
677;630524;5;M
678;330528;39;F
679;400319;8;M
680;400509;8;F
681;770115;15;M
682;791021;18;M
683;450829;76;F
684;760410;3;F
685;301213;72;F
686;711003;32;F
687;750128;32;M
688;540504;1;M
689;640802;70;M
690;421107;38;M
691;440113;38;F
692;360111;74;F
693;350317;74;M
694;360228;29;M
695;550627;28;M
696;521201;28;F
697;740501;1;M
698;540227;75;M
699;220422;26;F
700;291120;12;M
702;681107;31;F
703;590426;4;M
704;750501;54;M
705;381210;19;M
706;480805;1;M
707;411214;1;M
708;771127;50;F
709;341229;1;M
710;251128;23;M
711;630816;48;F
712;621204;54;M
713;800329;20;F
714;701008;31;M
715;520115;1;F
716;541204;1;F
717;680502;54;M
718;600228;54;F
719;740809;46;M
720;540906;29;M
721;400215;43;M
722;701125;62;F
723;570726;12;F
724;530202;65;F
725;561211;75;M
726;350213;16;M
727;300720;32;F
728;320120;32;M
729;690317;63;F
730;730814;63;M
731;790122;74;F
732;780705;74;M
733;780728;46;M
734;850114;46;F
735;731126;1;M
736;770426;1;F
737;521104;74;M
738;200326;25;M
739;420416;72;M
740;231107;55;M
741;410709;74;M
742;511015;1;F
743;410217;1;M
744;400718;26;M
745;660214;52;F
746;620416;52;M
747;530820;24;F
748;361015;25;M
749;330729;25;F
750;560929;70;F
751;590309;70;M
752;441220;72;M
753;400924;72;F
754;470604;63;F
755;471121;72;M
756;200513;31;M
757;701220;71;F
758;610726;68;F
759;550520;29;M
760;360825;57;F
762;370420;21;M
763;270824;75;F
764;551013;49;F
765;691231;65;M
766;260703;1;F
767;230616;1;M
768;310923;32;F
769;771215;40;M
772;441210;64;M
773;351030;4;M
774;730303;70;M
775;401130;51;F
776;530503;1;F
777;610520;1;M
778;400604;13;M
779;440612;69;F
780;240226;3;M
781;450920;72;M
782;630318;5;F
783;710325;27;F
784;641228;27;M
785;340909;63;M
786;780906;53;M
787;471208;3;M
788;740903;47;M
789;310921;4;M
790;670509;63;F
791;500929;68;F
793;780204;21;M
794;790716;21;F
796;190830;1;M
797;480127;8;M
798;400212;27;F
799;360219;27;M
803;510215;35;M
804;560123;35;F
806;800422;60;M
807;691021;53;F
808;631128;31;M
809;191015;49;M
810;450924;58;F
811;400528;58;M
812;401206;39;M
813;640129;70;M
814;591001;19;M
815;641027;22;F
816;580201;17;F
818;660427;54;M
819;580708;74;M
820;601106;74;F
821;480512;49;M
822;590508;37;F
823;561024;41;M
824;520905;27;M
825;770402;74;M
826;780123;1;M
827;650904;10;F
828;581210;10;M
829;570519;24;M
830;480827;69;M
831;480502;2;M
832;231223;67;F
833;600611;5;M
834;221217;54;M
835;431020;28;F
836;480614;28;M
837;741014;71;M
838;680204;71;F
839;550518;47;F
840;370426;20;M
841;810210;69;M
842;330703;12;F
843;570903;54;F
844;450114;22;M
845;530130;22;F
846;491201;35;M
847;791225;49;M
849;390606;26;F
850;690921;19;M
851;190616;25;M
852;160604;25;F
853;490602;70;M
854;411102;72;F
855;300128;58;M
856;190122;23;M
857;480221;32;M
858;590329;47;F
859;680729;1;F
860;671208;1;M
861;560913;1;F
862;520105;30;M
863;681129;54;F
864;530327;11;M
865;461103;11;F
866;751124;38;F
870;570506;70;M
871;740311;76;M
872;630222;35;M
873;440105;60;M
874;520905;14;F
875;561207;14;M
876;601125;1;M
877;270121;5;F
878;200417;5;M
879;431208;38;F
880;600217;49;M
881;750222;5;F
882;330909;70;F
883;200106;75;F
884;181014;75;M
885;230208;34;M
886;480202;34;M
887;731128;66;F
888;731026;28;M
889;811024;54;F
890;190330;77;M
891;310131;33;M
892;220524;42;F
893;351023;43;F
894;340818;75;M
895;700703;39;M
896;730424;36;F
897;810325;36;M
898;430427;38;F
899;440213;38;M
900;770410;73;M
901;191221;39;M
902;500815;23;M
903;340306;31;M
904;320208;1;M
905;401023;38;M
906;780616;65;M
907;480311;51;M
908;610307;51;F
909;750907;23;M
910;610927;1;M
911;391128;43;M
912;201029;76;M
913;381118;1;M
914;210119;1;F
915;750503;12;M
916;580629;3;M
917;730916;25;F
918;641223;26;M
921;540213;7;F
922;720816;22;F
923;780822;22;M
924;530712;1;M
925;590813;54;M
926;810122;1;M
927;741026;1;M
928;511010;66;F
929;350423;30;M
930;590825;68;F
931;680607;16;M
932;470927;3;M
933;780311;33;F
934;820819;33;M
935;460517;42;F
936;430730;42;M
937;311114;1;M
938;440807;59;F
939;520803;21;M
940;600811;53;M
941;351005;10;M
942;310902;12;F
943;360926;12;M
944;701218;39;M
945;770110;39;F
946;510806;54;M
948;240422;49;M
949;760727;3;M
950;650412;76;F
951;600917;76;M
952;510501;63;F
953;371017;25;M
954;421020;1;F
955;700128;57;M
956;661021;1;M
957;411223;56;F
958;420504;56;M
959;620912;11;F
960;570413;16;F
961;311004;15;F
962;660219;19;M
963;661217;64;F
964;531021;10;F
965;721201;13;F
966;780902;13;M
967;790620;76;M
968;570217;69;M
970;570329;36;M
971;190101;46;F
972;170506;46;M
973;701006;14;F
974;630624;14;M
975;590712;1;F
976;551119;16;F
977;260510;76;F
978;680609;56;F
979;661118;56;M
980;610930;40;M
981;600628;5;M
984;490703;20;M
985;470113;20;F
986;550516;74;M
987;520520;60;M
988;391001;40;F
989;330815;40;M
990;611224;71;M
991;410627;32;M
992;480521;19;M
993;691031;44;F
994;710427;36;M
995;731030;36;F
996;800626;1;F
997;501111;59;M
998;530628;59;F
999;660901;74;F
1000;611027;74;M
1001;470414;44;M
1002;440308;42;F
1003;371031;31;F
1004;570925;3;M
1006;420628;46;F
1007;380105;46;M
1008;560706;6;M
1009;620427;33;F
1010;550816;33;M
1011;390713;16;M
1012;660213;70;F
1013;730312;70;M
1014;310208;1;M
1015;340313;62;M
1016;400721;62;F
1017;430212;6;F
1018;450228;53;M
1019;461222;14;F
1020;770510;72;F
1021;770805;2;M
1022;400723;31;M
1023;381228;1;M
1024;560329;25;M
1025;640708;15;M
1026;790812;57;M
1027;401104;1;F
1028;341002;1;M
1029;540316;1;F
1030;471011;1;M
1031;681211;2;F
1032;381030;1;F
1033;371014;1;M
1034;741111;52;F
1035;710328;13;F
1036;761206;13;M
1037;651101;1;F
1038;610923;69;F
1039;801011;70;F
1040;600617;1;M
1041;610705;72;M
1042;660925;17;F
1043;631116;17;M
1044;710913;9;F
1045;471224;60;F
1046;750824;1;M
1047;630711;16;F
1048;741003;70;F
1049;421111;1;M
1050;710701;27;F
1051;710826;73;F
1052;640311;56;M
1053;580603;56;F
1054;240820;63;M
1055;190517;4;M
1056;630619;1;M
1057;390221;52;M
1058;750801;9;F
1059;600603;26;M
1060;571217;26;F
1062;750108;16;M
1063;760612;16;F
1064;510203;1;F
1065;571126;2;M
1066;401018;1;M
1067;520514;1;M
1068;261020;13;F
1069;380221;54;F
1070;381202;54;M
1071;250125;43;M
1072;661208;60;F
1073;240410;34;M
1074;280825;34;F
1075;340604;65;F
1076;790511;53;F
1077;200623;46;M
1078;781215;24;F
1079;610715;3;M
1080;501006;54;F
1081;701216;71;M
1082;670223;9;M
1083;371215;48;M
1084;440409;48;F
1085;321219;60;F
1086;730504;74;M
1087;780730;74;F
1088;690823;47;F
1089;391209;1;M
1090;390620;35;F
1091;400627;59;F
1092;620720;41;F
1093;760728;62;F
1094;601004;30;F
1095;540216;30;M
1096;260303;1;F
1097;300902;1;M
1098;480910;60;F
1099;791121;65;F
1100;510704;59;M
1101;460622;74;M
1102;350129;72;M
1103;510818;1;M
1104;550209;1;F
1105;420103;56;M
1106;400225;56;F
1107;610426;60;M
1108;551222;62;F
1109;310901;58;F
1110;280324;10;F
1111;790604;61;M
1112;300725;13;F
1113;760820;11;M
1114;800618;59;M
1115;200824;36;F
1116;730419;69;F
1117;761101;20;F
1118;691103;20;M
1119;800105;54;F
1120;731021;41;F
1121;390302;59;M
1122;210218;20;M
1123;220826;20;F
1124;280412;21;M
1125;340330;9;F
1126;351023;9;M
1127;741112;23;M
1128;300716;7;M
1129;310924;43;M
1130;401126;70;F
1131;471028;55;F
1132;480321;55;M
1133;580915;37;F
1134;591001;37;M
1135;520721;8;M
1136;760918;9;F
1137;770305;1;F
1138;700930;70;F
1139;730922;70;M
1140;460224;18;M
1141;410422;21;F
1142;461119;59;F
1143;460515;59;M
1145;680914;58;F
1146;651114;54;M
1147;300512;3;M
1148;410515;41;M
1149;760925;14;F
1150;450624;74;F
1151;730306;59;M
1152;810312;74;M
1153;801115;70;F
1154;240131;72;M
1155;220710;72;F
1156;331111;1;F
1157;581230;4;F
1158;540821;1;F
1159;440203;64;M
1160;380728;64;F
1161;730525;7;M
1162;750219;26;F
1163;640828;20;M
1164;590914;15;F
1165;421002;15;F
1166;590627;74;M
1167;540317;74;F
1168;780531;19;M
1169;410124;18;F
1170;770428;12;M
1171;740328;46;F
1172;230613;54;F
1173;220602;54;M
1174;700313;29;F
1175;251025;1;M
1176;180831;1;F
1177;390621;77;F
1178;711004;1;F
1179;301005;1;F
1180;441006;21;M
1181;391112;1;M
1182;461016;66;F
1183;421129;54;M
1186;470805;2;F
1187;610906;32;F
1188;680919;32;M
1189;320215;74;F
1190;760412;15;F
1191;770602;15;M
1192;250101;10;F
1193;260129;19;M
1194;390614;17;F
1195;390122;39;F
1196;430416;22;M
1197;661002;6;F
1198;750217;72;F
1199;761024;64;F
1200;311117;47;F
1201;450910;54;M
1202;801011;47;F
1204;741109;77;F
1206;570621;50;M
1207;390917;28;F
1208;750901;70;F
1209;570409;36;F
1210;611012;6;M
1211;780714;1;M
1212;270919;13;F
1213;660428;1;M
1214;401115;61;M
1215;440506;45;M
1216;450612;65;F
1217;370417;59;M
1218;800527;74;M
1219;440731;1;M
1220;531216;40;F
1221;730518;14;F
1222;391130;7;F
1223;550813;14;F
1224;380512;56;M
1225;460821;42;M
1226;510414;33;F
1227;551002;33;M
1228;490828;21;F
1229;710202;19;M
1231;650927;20;F
1232;590413;20;M
1233;421022;68;M
1234;750115;23;M
1235;790712;23;F
1236;670428;26;F
1237;231107;57;M
1238;350901;74;M
1239;760909;11;F
1240;760824;32;F
1241;421217;73;F
1242;440821;73;F
1243;741005;11;F
1244;640502;1;M
1245;790813;64;M
1246;621119;70;M
1247;691009;70;F
1248;710624;19;M
1250;520801;43;F
1251;590530;1;M
1252;530819;1;F
1253;670828;14;F
1254;390831;3;F
1255;660807;1;F
1256;551113;46;F
1257;280901;35;F
1258;240920;35;M
1259;660929;18;M
1260;450103;57;F
1261;510928;57;M
1262;520403;35;M
1263;590225;35;F
1264;761003;61;F
1265;581221;57;F
1266;521124;71;F
1267;540211;29;F
1268;490330;29;M
1269;481231;1;F
1270;300516;13;M
1271;351129;47;M
1272;440415;8;M
1273;780615;6;M
1274;760125;44;M
1275;511010;1;F
1276;420426;68;F
1277;310407;70;M
1278;780912;72;M
1279;560711;16;M
1280;520508;34;M
1281;491228;34;F
1282;361127;52;M
1283;390209;66;F
1284;430804;66;M
1285;391126;62;M
1286;500313;52;F
1287;440809;65;F
1288;720520;73;M
1289;460918;59;M
1290;760129;35;M
1291;640418;1;F
1292;770428;14;M
1293;270129;1;M
1294;300529;1;F
1295;440209;74;F
1296;590801;55;F
1297;180128;64;F
1298;210315;64;M
1299;201016;2;F
1300;791027;45;M
1303;400816;42;F
1304;360728;37;M
1305;450428;55;F
1306;221008;32;F
1307;530408;74;M
1308;540218;69;M
1309;750617;1;M
1310;770924;41;F
1311;561218;54;F
1312;350403;35;F
1313;701120;54;M
1314;750609;54;F
1315;230226;34;M
1316;461113;67;F
1317;450518;67;M
1318;310310;47;M
1321;771109;35;F
1322;450922;4;F
1323;440106;70;M
1324;560807;66;F
1325;450919;39;M
1326;560512;55;F
1327;631231;20;F
1328;370605;42;F
1329;180216;26;M
1330;680917;66;M
1331;631124;54;M
1332;571127;5;F
1333;490420;48;M
1334;780206;8;M
1335;610125;1;F
1336;621104;1;M
1337;790329;56;F
1338;830726;56;M
1339;590504;22;M
1340;390320;68;F
1341;620617;69;F
1343;390816;1;F
1344;350218;1;M
1345;680522;32;M
1346;540829;13;M
1347;700306;13;M
1348;750607;13;F
1349;680107;26;F
1350;590428;1;M
1351;510924;1;F
1352;710401;54;F
1353;590213;27;M
1354;210114;64;M
1355;760201;35;F
1356;320918;1;M
1359;510904;1;F
1360;460819;1;M
1361;220929;1;F
1362;290103;1;M
1363;791227;6;F
1364;331228;1;M
1365;380223;1;F
1366;800302;12;F
1367;651027;60;F
1368;571230;60;M
1369;781023;41;M
1370;650111;34;F
1371;481022;49;F
1372;761207;28;F
1373;750208;74;F
1375;770127;69;M
1376;580903;18;M
1377;510723;18;F
1378;411125;74;F
1379;370218;74;M
1380;530729;44;F
1382;791123;18;F
1383;821005;29;M
1384;530424;40;F
1385;530830;22;M
1386;560809;22;F
1387;770222;1;F
1388;620906;5;F
1389;270304;43;F
1390;790527;59;F
1391;651122;41;M
1392;320206;50;M
1393;340501;50;F
1394;420822;49;F
1395;411018;49;M
1396;460314;39;F
1397;211225;66;F
1401;810724;35;M
1402;361125;44;M
1403;440102;44;F
1404;681220;11;F
1406;481112;29;F
1407;410804;29;M
1408;690807;49;M
1409;510430;25;M
1410;440203;18;M
1411;390806;18;F
1412;791105;6;M
1413;690716;11;F
1414;741113;70;F
1416;271202;19;M
1417;661112;27;F
1418;740616;41;F
1419;180125;74;F
1420;160120;74;M
1421;560210;20;F
1422;760223;69;F
1423;820411;69;M
1424;520105;8;M
1425;680827;12;M
1426;640430;12;F
1427;651216;14;F
1428;200423;12;M
1429;270904;12;F
1430;820529;64;F
1431;301108;55;F
1432;610817;16;F
1433;590710;72;F
1434;670325;72;M
1435;530625;52;M
1438;631025;29;F
1439;740910;29;M
1440;780117;1;M
1441;311205;42;F
1442;330418;42;M
1443;350125;29;M
1444;420714;29;F
1445;410724;68;M
1446;540729;70;M
1447;520621;70;F
1448;571009;50;F
1449;490629;41;M
1450;690317;61;F
1452;400528;72;F
1453;660329;29;F
1454;251003;73;M
1455;270902;73;F
1456;280424;70;M
1457;341012;70;F
1458;380408;67;M
1459;760908;4;M
1460;330313;23;F
1461;691221;28;M
1462;410302;49;M
1463;360126;70;F
1464;280401;36;F
1465;310106;36;M
1466;530822;39;M
1467;240930;65;M
1468;400416;77;F
